car_title,car_link,car_price,currency,years
Honda CR-V IV,https://www.otomoto.pl/oferta/honda-cr-v-1-6-i-dtec-160-km-4x4-executive-swietnie-wyposazona-ID6B7pXo.html#561e6d15a8,99 999,PLN,2015
Volkswagen Tiguan II,https://www.otomoto.pl/oferta/volkswagen-tiguan-comfortline-2-0-tdi-scr-150-km-dsg-navi-wyprzedaz-rocznika-w-aso-ID6BqQ73.html#561e6d15a8,140 724,PLN,2018
Audi A6 C7,https://www.otomoto.pl/oferta/audi-a6-limousine-2-0-tdi-quattro-190-km-s-tronic-ID6zMbmM.html#561e6d15a8,211 698,PLN,2018
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-7-alltrack-1-8tsi-180km-dsg-4motion-navi-masaz-tryboffroad-fv23-ID6zZWVd.html#561e6d15a8,87 901,PLN,2016
Nissan Qashqai II,https://www.otomoto.pl/oferta/nissan-qashqai-qashqai-1-2-dig-t-115-km-n-connecta-p-styl-okazja-2018-bialy-ID6yTAoz.html#561e6d15a8,87 500,PLN,2018
Volkswagen Tiguan II,https://www.otomoto.pl/oferta/volkswagen-tiguan-comfortline-2-0-tdi-4motion-150-km-dsg-navi-wyprzedaz-rocznika-w-aso-ID6BqEqt.html#561e6d15a8,148 457,PLN,2018
Volkswagen Tiguan II,https://www.otomoto.pl/oferta/volkswagen-tiguan-comfortline-2-0-tdi-scr-150-km-dsg-navi-wyprzedaz-rocznika-w-aso-ID6Bu9Pk.html#561e6d15a8,136 867,PLN,2018
BMW Seria 3 E90,https://www.otomoto.pl/oferta/bmw-seria-3-320-xenon-skora-stan-perfekcyjny-ID6Bwmov.html#561e6d15a8,37 000,PLN,2008
BMW Seria 3 F30,https://www.otomoto.pl/oferta/bmw-seria-3-330i-xdrive-salon-polska-i-wl-bezwypadkowy-bardzo-zadbany-ID6z4Y11.html#561e6d15a8,159 000,PLN,2017
Peugeot 307 I,https://www.otomoto.pl/oferta/peugeot-307-2-0-hdi-90km-najlepszy-silnik-5-drzwi-klima-tempomat-bardzo-zadbany-ID6BuFGd.html#561e6d15a8,7 900,PLN,2004
Volkswagen Golf Sportsvan,https://www.otomoto.pl/oferta/volkswagen-golf-sportsvan-highline-1-5-tsi-act-150-km-dsg-tk-wyprzedaz-rocznika-w-aso-ID6BuaO8.html#561e6d15a8,108 144,PLN,2018
Volkswagen Passat B7,https://www.otomoto.pl/oferta/volkswagen-passat-partronic-navi-peen-rocynik-2014-ID6BuFFr.html#561e6d15a8,39 900,PLN,2014
Volkswagen Bora,https://www.otomoto.pl/oferta/volkswagen-bora-benzynka-klimatron-oplacona-ID6B9tom.html#561e6d15a8,6 900,PLN,2000
Mercedes-Benz Klasa E W124,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-hydrauliczne-zawieszenie-automat-klima-300-d-136-km-ID6Btab3.html#561e6d15a8,10 800,PLN,1995
Volvo S40 II,https://www.otomoto.pl/oferta/volvo-s40-volvo-s40-ii-d4-2-0d-177-km-vat-23-ID6BqDUJ.html#561e6d15a8,23 900,PLN,2011
Audi A6 C8,https://www.otomoto.pl/oferta/audi-a6-limousine-sport-50-tdi-quattro-210-kw-286-km-tiptronic-ID6AWl6L.html#561e6d15a8,370 708,PLN,2018
Mercedes-Benz Klasa C W205,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-mercedes-c63-amg-coupe-pelne-wyposazenie-okazja-ID6AOMVF.html#561e6d15a8,268 000,PLN,2016
Audi A3 8P,https://www.otomoto.pl/oferta/audi-a3-audi-1600-fsi-benzyna-zarejestrowany-w-kraju-ID6BuFk2.html#561e6d15a8,23 900,PLN,2005
Porsche Panamera,https://www.otomoto.pl/oferta/porsche-panamera-gts-nowy-fv23-my2019-ID6BuFw7.html#561e6d15a8,795 000,PLN,2018
Volkswagen Golf Sportsvan,https://www.otomoto.pl/oferta/volkswagen-golf-sportsvan-highline-1-5-tsi-act-130-km-m6-full-led-wyprzedaz-rocznika-w-aso-ID6BtvZ2.html#561e6d15a8,109 805,PLN,2018
Mini Cooper,https://www.otomoto.pl/oferta/mini-cooper-wyjatkowy-godny-uwagi-gwarancja-promocja-pakiet-rodzinny-duet-do-30-ID6BuCho.html#561e6d15a8,53 900,PLN,2014
Škoda RAPID,https://www.otomoto.pl/oferta/skoda-rapid-1-0-tsi-110km-ambition-komfort-dynamic-super-cena-rabat-ID6BuFye.html#561e6d15a8,65 099,PLN,2018
Mercedes-Benz Klasa S W222,https://www.otomoto.pl/oferta/mercedes-benz-klasa-s-nowy-mercedes-benz-s400d-4m-long-dostepny-od-reki-salon-polska-rabat-ID6BuFvY.html#561e6d15a8,540 760,PLN,2018
Ford Mondeo Mk4,https://www.otomoto.pl/oferta/ford-mondeo-ford-mondeo-mk4-titanium-ID6Bta8r.html#561e6d15a8,16 900,PLN,2007
Audi A6 C7,https://www.otomoto.pl/oferta/audi-a6-limousine-2-0-tfsi-252-km-s-tronic-ID6zUDa6.html#561e6d15a8,212 054,PLN,2018
Peugeot 407,https://www.otomoto.pl/oferta/peugeot-407-2-0-16v-salon-polska-1-wlasciciel-serwis-aso-klimatronic-alu-ID6BtqXt.html#561e6d15a8,13 500,PLN,2007
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-r-line-highline-1-5-tsi-150-km-dsg-wyprzedaz-rocznika-w-aso-plichta-ID6BtL9p.html#561e6d15a8,114 900,PLN,2018
Alfa Romeo 159,https://www.otomoto.pl/oferta/alfa-romeo-159-alfa-romeo-159-2-4-jtdm-210-km-100-bezwypadkowa-ID6BwlGe.html#561e6d15a8,19 900,PLN,2008
car_title,car_link,car_price,currency,years
Chevrolet Cobalt,https://www.otomoto.pl/oferta/chevrolet-cobalt-vectra-2-2-lpg-150-km-klima-przeb-138-tys-km-okazja-ID6BtqX1.html#d3438437c4,11 000,PLN,2007
Hyundai i20 I,https://www.otomoto.pl/oferta/hyundai-i20-1-2-16v-80km-3d-lpg-gaz-klima-elektryka-bezwypadkowy-okazja-ID6BwmmI.html#d3438437c4,14 300,PLN,2010
BMW Seria 3 E46,https://www.otomoto.pl/oferta/bmw-seria-3-polift-e46-idealny-stan-ID6BwmmS.html#d3438437c4,8 900,PLN,2003
Nissan Qashqai II,https://www.otomoto.pl/oferta/nissan-qashqai-crossover-panorama-navi-uwaga-w-poniedzialek-czynne-rabaty-znizki-ID6BuBqh.html#d3438437c4,66 900,PLN,2016
Opel Astra H,https://www.otomoto.pl/oferta/opel-astra-1-8-benz-140ps-alu-klima-navi-ID6Bwmds.html#d3438437c4,19 900,PLN,2010
Volkswagen T-Roc,https://www.otomoto.pl/oferta/volkswagen-t-roc-1-0-tsi-85-kw-115-km-wyprzedaz-rocznika-w-aso-plichta-ID6AHVIO.html#d3438437c4,94 900,PLN,2018
Dacia Duster,https://www.otomoto.pl/oferta/dacia-duster-1-5-dci-115km-4x4-essential-klimatyzacja-opcje-super-okazja-rabat-ID6BuFua.html#d3438437c4,70 299,PLN,2018
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-comfortline-1-0-tsi-115-km-dsg-navi-kamera-wyprzedaz-rocznika-w-aso-ID6BtqWW.html#d3438437c4,97 756,PLN,2018
Citroën C4 Picasso I,https://www.otomoto.pl/oferta/citroen-c4-picasso-automatyczna-skrzynia-bezwypadkowy-ID6Bu6kV.html#d3438437c4,20 000,PLN,2009
Mercedes-Benz Klasa C W204,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-amg-oryginal-zadbany-polecam-niski-przebieg-ID6AjUc4.html#d3438437c4,45 900,PLN,2008
Renault Grand Scenic IV,https://www.otomoto.pl/oferta/renault-grand-scenic-1-6-cdi-130ps-full-opcja-kamera-7-foteli-gwarancja-auto-demo-vat-ID6BwmlO.html#d3438437c4,93 800,PLN,2018
Mazda 3 I,https://www.otomoto.pl/oferta/mazda-3-1-6-benzyna-zadbany-ID6Bwmmq.html#d3438437c4,9 900,PLN,2004
BMW Seria 5 F10,https://www.otomoto.pl/oferta/bmw-seria-5-ladna-f10-535xd-313km-od-jednego-wlasciela-w-polsce-ID6AWVUN.html#d3438437c4,139 000,PLN,2014
Volkswagen Golf VI,https://www.otomoto.pl/oferta/volkswagen-golf-piekny-vw-golf-vi-kombi-ID6BtqTo.html#d3438437c4,22 700,PLN,2011
Mazda 6 III,https://www.otomoto.pl/oferta/mazda-6-pierwsza-rejestracja-2016-salon-pl-kola-zimowe-19-ID6BwmjY.html#d3438437c4,88 000,PLN,2015
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-2-0-cdti-salon-polska-serwis-aso-klimatronic-tempomat-ID6BsoYu.html#d3438437c4,33 500,PLN,2013
Opel Corsa C,https://www.otomoto.pl/oferta/opel-corsa-c-lift-3d-klima-centralny-wspomaganie-kola-lato-zima-okazja-niemcy-ID6Bwmm3.html#d3438437c4,6 999,PLN,2006
Volvo XC 40,https://www.otomoto.pl/oferta/volvo-xc-40-xc40-d4-awd-first-edition-salonpl-autoryzowany-dealer-volvo-fvat23-ID6BtqTJ.html#d3438437c4,179 000,PLN,2018
Volkswagen CC,https://www.otomoto.pl/oferta/volkswagen-cc-2-0-tdi-salon-polska-1-wlasciciel-serwis-aso-174-km-vat-23-ID6BsoXX.html#d3438437c4,47 153,PLN,2013
BMW Seria 5 F10,https://www.otomoto.pl/oferta/bmw-seria-5-ID6Buk4m.html#d3438437c4,55 000,PLN,2013
Volkswagen CC,https://www.otomoto.pl/oferta/volkswagen-cc-2-0-cr-tdi-100-oryginal-piekny-ID6BqgPZ.html#d3438437c4,52 500,PLN,2012
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-2-0-tdi-salon-polska-1-wlasciciel-serwis-aso-vat-23-klima-ID6Bsdcu.html#d3438437c4,47 153,PLN,2016
Opel Combo E,https://www.otomoto.pl/oferta/opel-combo-life-enjoy-1-5dt-102km-w-super-cenie-ID6Bsx6m.html#d3438437c4,74 982,PLN,2018
Škoda Octavia III,https://www.otomoto.pl/oferta/skoda-octavia-1-4-tsi-salon-polska-1-wlasciciel-serwis-aso-navi-xenon-ID6Bsdca.html#d3438437c4,46 300,PLN,2014
Audi RS3,https://www.otomoto.pl/oferta/audi-rs3-audi-rs3-apr-ID6Bmp4t.html#d3438437c4,99 999,PLN,2012
Toyota Avensis III,https://www.otomoto.pl/oferta/toyota-avensis-2-0-d-4d-salon-polska-vat-23-xenon-klimatronic-tempomat-ID6BsxJv.html#d3438437c4,35 771,PLN,2014
Volkswagen Tiguan II,https://www.otomoto.pl/oferta/volkswagen-tiguan-comfortline-2-0-tdi-scr-150-km-manual-6b-pi-wyprzedaz-rocznika-w-aso-ID6Bw1wJ.html#d3438437c4,122 788,PLN,2018
Volkswagen up!,https://www.otomoto.pl/oferta/volkswagen-up-move-1-0-60-km-manual-5b-klima-radio-tk-wyprzedaz-rocznika-w-aso-ID6Btky5.html#d3438437c4,43 247,PLN,2018
Volkswagen Tiguan II,https://www.otomoto.pl/oferta/volkswagen-tiguan-comfortline-2-0-tdi-scr-150-km-dsg-7-navi-wyprzedaz-rocznika-w-aso-ID6AVcKO.html#d3438437c4,139 786,PLN,2018
Volvo V40 II,https://www.otomoto.pl/oferta/volvo-v40-d3-summum-150km-pl-salon-fv-23-gwarancja-dealer-drywa-volvo-ID6AMQID.html#d3438437c4,119 555,PLN,2018
Renault Clio IV,https://www.otomoto.pl/oferta/renault-clio-klimatyzacja-nawigacja-czujniki-tempomat-led-papis-lodz-ID6Br9zn.html#d3438437c4,35 900,PLN,2014
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-salon-polska-iwlasciciel-nawigacja-bogata-wersja-serwisowana-gwarancja-ID6AlxQa.html#d3438437c4,47 900,PLN,2014
car_title,car_link,car_price,currency,years
Volkswagen Tiguan II,https://www.otomoto.pl/oferta/volkswagen-tiguan-comfortline-2-0-tdi-scr-150-km-dsg-7-navi-wyprzedaz-rocznika-w-aso-ID6AVcKO.html#ca0887f794,139 786,PLN,2018
Volvo V40 II,https://www.otomoto.pl/oferta/volvo-v40-d3-summum-150km-pl-salon-fv-23-gwarancja-dealer-drywa-volvo-ID6AMQID.html#ca0887f794,119 555,PLN,2018
Renault Clio IV,https://www.otomoto.pl/oferta/renault-clio-klimatyzacja-nawigacja-czujniki-tempomat-led-papis-lodz-ID6Br9zn.html#ca0887f794,35 900,PLN,2014
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-salon-polska-iwlasciciel-nawigacja-bogata-wersja-serwisowana-gwarancja-ID6AlxQa.html#ca0887f794,47 900,PLN,2014
Ford Focus Mk2,https://www.otomoto.pl/oferta/ford-focus-1-6-tdci-salon-polska-serwis-aso-klima-ID6Btxgu.html#ca0887f794,15 800,PLN,2011
Dodge Caliber,https://www.otomoto.pl/oferta/dodge-caliber-2-0-crd-wersja-sxt-skory-grzane-fotele-alu-18-zarejestrowany-ID6BwmlD.html#ca0887f794,16 700,PLN,2007
Volkswagen up!,https://www.otomoto.pl/oferta/volkswagen-up-move-1-0-75-km-manual-5b-klima-radio-kamera-wyprzedaz-rocznika-w-aso-ID6Btkgp.html#ca0887f794,46 041,PLN,2018
Ford Focus Mk3,https://www.otomoto.pl/oferta/ford-focus-1-5-tdci120kmtrend-radio-sync-kolo-zapasowe-podlokietnik-duzy-rabat-ID6BuFfY.html#ca0887f794,67 919,PLN,2018
Honda CR-V III,https://www.otomoto.pl/oferta/honda-cr-v-4x4-bezwypadkowa-serwis-aso-2-0-ben-ksenon-ID6Bwmlf.html#ca0887f794,52 900,PLN,2011
Land Rover Freelander II,https://www.otomoto.pl/oferta/land-rover-freelander-super-okazja-super-cena-ID6BtagC.html#ca0887f794,39 900,PLN,2011
Audi A6 C7,https://www.otomoto.pl/oferta/audi-a6-3-0-272km-quattro-pneumatyka-kamera-pamiec-foteli-fv23-gwarancja-2019-ID6AYcaq.html#ca0887f794,105 990,PLN,2015
Volkswagen up!,https://www.otomoto.pl/oferta/volkswagen-up-move-1-0-60-km-manual-5b-klima-radio-wyprzedaz-rocznika-w-aso-ID6AVqaP.html#ca0887f794,42 052,PLN,2018
Suzuki Vitara II,https://www.otomoto.pl/oferta/suzuki-vitara-1-4-boosterjet-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6Bu7Ox.html#ca0887f794,60 161,PLN,2017
BMW Seria 5 F10,https://www.otomoto.pl/oferta/bmw-seria-5-520dxa-190km-xdrive-headup-panorama-skora-led-hak-fv23-gwarancja-2019-ID6Bukph.html#ca0887f794,104 990,PLN,2015
Volkswagen up!,https://www.otomoto.pl/oferta/volkswagen-up-move-up-5-drzwi-1-0-90-km-wyprzedaz-rocznika-w-aso-plichta-ID6BtqP3.html#ca0887f794,51 500,PLN,2018
Volkswagen Arteon,https://www.otomoto.pl/oferta/volkswagen-arteon-r-line-2-0-tdi-190-km-dsg-7-navi-kamery-wyprzedaz-rocznika-w-aso-ID6Bjf8p.html#ca0887f794,196 593,PLN,2018
Audi A4 B8,https://www.otomoto.pl/oferta/audi-a4-ID6ziOzt.html#ca0887f794,56 000,PLN,2012
BMW X2,https://www.otomoto.pl/oferta/bmw-x2-nowa-bmw-x2-18i-140-km-automat-m-sport-ID6BtqOQ.html#ca0887f794,165 661,PLN,2018
Ford Ranger,https://www.otomoto.pl/oferta/ford-ranger-wildtrak-4x4-3-2-200km-automat-frozen-white-offroad-od-reki-okazja-ID6AUhIp.html#ca0887f794,123 900,PLN,2018
Volvo V70 III,https://www.otomoto.pl/oferta/volvo-v70-volvo-v70-drive-z-webasto-i-dodatkowym-kompletem-kol-zimowych-ID6Bwmle.html#ca0887f794,32 500,PLN,2010
Volkswagen Passat CC,https://www.otomoto.pl/oferta/volkswagen-passat-cc-highline-ksenon-ledy-navi-kamera-tempomat-aktywny-jak-nowy-ID6A9JwT.html#ca0887f794,59 890,PLN,2014
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-wersja-limit-cup-ksenon-ledy-navi-webasto-parkassist-jak-nowy-ID6A9zWx.html#ca0887f794,51 890,PLN,2014
Toyota Avensis III,https://www.otomoto.pl/oferta/toyota-avensis-1-8-premium-gwarancja-executive-navi-style-ID6BuEO0.html#ca0887f794,76 400,PLN,2016
Toyota Verso,https://www.otomoto.pl/oferta/toyota-verso-1-8-b-147km-premium-automat-salon-pl-1wl-aso-toyota-navi-kamera-ID6zLLMT.html#ca0887f794,75 900,PLN,2016
Lancia Delta,https://www.otomoto.pl/oferta/lancia-delta-jtd-mokka-skory-navi-pdc-park-asist-ID6Bwml9.html#ca0887f794,27 900,PLN,2011
Ford Fiesta Mk7,https://www.otomoto.pl/oferta/ford-fiesta-black-edition-st-line-ID6Bwml2.html#ca0887f794,36 900,PLN,2014
Volkswagen Arteon,https://www.otomoto.pl/oferta/volkswagen-arteon-r-line-2-0-tdi-4motion-190-km-dsg-7-wyprzedaz-rocznika-w-aso-ID6BrxYO.html#ca0887f794,183 474,PLN,2017
Land Rover Discovery IV,https://www.otomoto.pl/oferta/land-rover-discovery-land-rover-discovery-4-3-0-sdv6-se-okazja-fv-23-ID6BqZ0W.html#ca0887f794,42 900,PLN,2010
BMW X5 E53,https://www.otomoto.pl/oferta/bmw-x5-samochod-w-bardzo-dobrym-stanie-technicznyn-i-wizualnym-ID6BwmjP.html#ca0887f794,25 500,PLN,2003
Volkswagen Golf Sportsvan,https://www.otomoto.pl/oferta/volkswagen-golf-sportsvan-trendline-1-0-tsi-110-km-manual-full-led-wyprzedaz-rocznika-w-aso-ID6AohFL.html#ca0887f794,78 898,PLN,2018
Honda City,https://www.otomoto.pl/oferta/honda-city-honda-city-1-4-ivtec-100km-pierwszy-wlasciciel-ID6Bwmjp.html#ca0887f794,24 900,PLN,2009
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-city-1-0-tsi-85-km-manual-5b-wyprzedaz-rocznika-w-aso-ID6BsphQ.html#ca0887f794,66 530,PLN,2018
car_title,car_link,car_price,currency,years
Volkswagen Passat B8,https://www.otomoto.pl/oferta/volkswagen-passat-comfortline-2-0-tdi-150-km-manual-6b-wyprzedaz-rocznika-w-aso-ID6Bspd7.html#2484b2abdd,124 545,PLN,2018
Volkswagen Polo VI,https://www.otomoto.pl/oferta/volkswagen-polo-comfortline-1-0-tsi-95-km-manual-5b-clima-wyprzedaz-rocznika-w-aso-ID6Bsp6q.html#2484b2abdd,60 816,PLN,2018
Toyota Auris II,https://www.otomoto.pl/oferta/toyota-auris-1-6-active-ID6BtqFL.html#2484b2abdd,53 800,PLN,2016
Seat Ibiza III,https://www.otomoto.pl/oferta/seat-ibiza-iii-3-sport-1-4-85km-lift-3d-klima-alu-szyber-tempomat-lpg-gaz-okazja-ID6Bwmkv.html#2484b2abdd,11 900,PLN,2008
Toyota RAV4 II,https://www.otomoto.pl/oferta/toyota-rav4-lift-2-0d-4d-116km-klimatronik-alu4x4-ID6Bu6ia.html#2484b2abdd,17 900,PLN,2004
Toyota Avensis II,https://www.otomoto.pl/oferta/toyota-avensis-1-8-vvt-i-luna-gaz-ID6Bu6h7.html#2484b2abdd,19 900,PLN,2005
Ford Mustang,https://www.otomoto.pl/oferta/ford-mustang-ford-mustang-zarejestrowany-bez-wkladu-gotowy-do-jazdy-ID6AooBB.html#2484b2abdd,44 000,PLN,2011
Volkswagen Golf VI,https://www.otomoto.pl/oferta/volkswagen-golf-1-4-tsi-highline-dsg-aso-prywatnie-ID6BsXY7.html#2484b2abdd,52 500,PLN,2012
Volkswagen Polo V,https://www.otomoto.pl/oferta/volkswagen-polo-vw-polo-1-6-tdi-bluemotion-klima-ID6BwmjD.html#2484b2abdd,20 900,PLN,2010
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-variant-highline-1-4-tsi-125-km-manual-6b-tk-wyprzedaz-rocznika-w-aso-ID6BrJek.html#2484b2abdd,92 870,PLN,2018
Peugeot 307 I,https://www.otomoto.pl/oferta/peugeot-307-klimatyzacja-komputer-elektryka-opony-zimowe-stan-bdb-ID6BsW4M.html#2484b2abdd,5 900,PLN,2003
Ford Mondeo Mk5,https://www.otomoto.pl/oferta/ford-mondeo-2-0-tdci-150km-titanium-dynamic-led-opcje-super-rabat-ID6BuEWx.html#2484b2abdd,119 899,PLN,2018
Peugeot 301,https://www.otomoto.pl/oferta/peugeot-301-salon-polska-i-wl-bogata-wersja-bezwypadkowa-ID6Bwmjx.html#2484b2abdd,27 900,PLN,2015
Volkswagen Passat CC,https://www.otomoto.pl/oferta/volkswagen-passat-cc-xenon-swiatla-skretne-duza-navi-kamera-cofania-dwustrefowa-klima-ID6BuTAm.html#2484b2abdd,29 700,PLN,2010
Audi A3 8V,https://www.otomoto.pl/oferta/audi-a3-limousine-quattro-1-8tfsi-180-km-s-tronic-ID6Bwmg1.html#2484b2abdd,95 000,PLN,2015
Audi A3 8P,https://www.otomoto.pl/oferta/audi-a3-sprzedam-audi-a3-wersja-8p-ID6Bw30x.html#2484b2abdd,13 500,PLN,2004
Volkswagen Passat B8,https://www.otomoto.pl/oferta/volkswagen-passat-comfortline-2-0-tdi-150-km-6-b-tk-wyprzedaz-rocznika-w-aso-ID6BrHeX.html#2484b2abdd,113 164,PLN,2018
Volkswagen Touran II,https://www.otomoto.pl/oferta/volkswagen-touran-2-0-tdi-140km-dsg-highline-vat-23-ID6ALb7f.html#2484b2abdd,65 800,PLN,2015
Audi Q5 FY,https://www.otomoto.pl/oferta/audi-q5-sport-2-0-tdi-quattro-s-tronic-ubezpieczenie-i-zimowki-gratis-ID6B5h4m.html#2484b2abdd,209 581,PLN,2017
Volkswagen Passat B8,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-150-km-dsg-rline-dostepny-od-reki-rline-ID6BsJUb.html#2484b2abdd,126 000,PLN,2018
Honda Civic VIII,https://www.otomoto.pl/oferta/honda-civic-1-8-types-ID6AVcnb.html#2484b2abdd,34 900,PLN,2008
Peugeot 508,https://www.otomoto.pl/oferta/peugeot-508-skora-navi-alu-panorama-xenon-led-serwisowany-asystent-park-start-stop-ID6Benjl.html#2484b2abdd,38 900,PLN,2013
Opel Corsa E,https://www.otomoto.pl/oferta/opel-corsa-1-4-75km-mt6-dostepna-od-reki-ID6BiBhQ.html#2484b2abdd,45 550,PLN,2018
Audi A6 C6,https://www.otomoto.pl/oferta/audi-a6-2-0-tdi-1-wlasciciel-serwis-aso-xenon-klimatronic-tempomat-ID6Bsdb7.html#2484b2abdd,25 000,PLN,2006
Jeep Grand Cherokee IV,https://www.otomoto.pl/oferta/jeep-grand-cherokee-4wd-jeep-grand-cherokee-3-6-ID6BuELB.html#2484b2abdd,85 000,PLN,2015
Audi Q7 I,https://www.otomoto.pl/oferta/audi-q7-3-0tdi-2x-s-line-webasto-panorama-alu-21-pneumatyka-sline-ID6BiICQ.html#2484b2abdd,56 400,PLN,2007
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-comfortline-1-0-tsi-115-km-dsg-upust-11-900-zl-od-reki-plichta-gdansk-ID6Bu6h2.html#2484b2abdd,84 900,PLN,2018
Nissan Qashqai I,https://www.otomoto.pl/oferta/nissan-qashqai-2-0-1-wlasciciel-4x4-navi-klimatronic-tempomat-parktronic-ID6BtRyu.html#2484b2abdd,48 000,PLN,2011
Toyota Auris II,https://www.otomoto.pl/oferta/toyota-auris-90km-d-4d-premium-style-f-23-salonpl-gw-12m-bonkowscy-ID6AzKlR.html#2484b2abdd,43 900,PLN,2014
Bentley Bentayga,https://www.otomoto.pl/oferta/bentley-bentayga-6-0-w12-608km-bentley-katowice-ID6AoMM9.html#2484b2abdd,984 900,PLN,2017
Škoda Octavia III,https://www.otomoto.pl/oferta/skoda-octavia-fl-1-0-tsi-115km-ambition-amazing-kolo-od-reki-ID6BuELx.html#2484b2abdd,79 199,PLN,2018
Bentley Continental Flying Spur,https://www.otomoto.pl/oferta/bentley-continental-flying-spur-bentley-katowice-ID6zsyNf.html#2484b2abdd,829 000,PLN,2017
car_title,car_link,car_price,currency,years
Toyota Aygo II,https://www.otomoto.pl/oferta/toyota-aygo-toyota-aygo-2017-benzyna-wersja-x-cite-pakiet-vip-ID6BtpOG.html#aeb76e87b8,37 200,PLN,2017
Bentley Bentayga,https://www.otomoto.pl/oferta/bentley-bentayga-v8-550km-salon-bentley-katowice-ID6A0aAc.html#aeb76e87b8,1 169 500,PLN,2018
Honda City,https://www.otomoto.pl/oferta/honda-city-1-4-i-salon-polska-klima-alu-ID6Btxdv.html#aeb76e87b8,13 400,PLN,2006
Seat Ateca,https://www.otomoto.pl/oferta/seat-ateca-1-6-tdi-115km-xcellence-kamery-360-opcje-rabat-ID6BuEI7.html#aeb76e87b8,117 858,PLN,2018
Renault Grand Scenic II,https://www.otomoto.pl/oferta/renault-grand-scenic-7-osobowy-1-6-benzyna-oryginalny-lakier-oraz-przebieg-ID6Bsmzb.html#aeb76e87b8,10 500,PLN,2006
Citroën Xsara Picasso,https://www.otomoto.pl/oferta/citroen-xsara-picasso-1-8-16v-salon-polska-klimatronic-el-szyby-wspomaganie-kierownicy-ID6BtNqU.html#aeb76e87b8,5 000,PLN,2000
Opel Astra H,https://www.otomoto.pl/oferta/opel-astra-gtc-bezwypadek-lift-niemcy-oplacona-1-6-benzyna-serwis-180-tys-km-ID6Br2qA.html#aeb76e87b8,15 900,PLN,2008
Audi A6 C6,https://www.otomoto.pl/oferta/audi-a6-2-0-benzyna-170-km-led-xenon-alkantara-serwis-audi-rejestracja-2011r-ID6BsUsf.html#aeb76e87b8,37 900,PLN,2010
Opel Insignia A,https://www.otomoto.pl/oferta/opel-insignia-opel-insignia-2-0-cdti-bezwypadkowy-automat-salon-pl-prywatnie-ID6BwmdF.html#aeb76e87b8,26 500,PLN,2009
Ford Mondeo Mk5,https://www.otomoto.pl/oferta/ford-mondeo-2-0-tdci-150kmtitanium-pakiet-titanium-winter1-super-rabat-ID6BuEEi.html#aeb76e87b8,116 899,PLN,2018
Mazda 6 III,https://www.otomoto.pl/oferta/mazda-6-2-0-i-salon-polska-1-wlasciciel-serwis-aso-navi-klimatronic-ID6BsY7i.html#aeb76e87b8,58 500,PLN,2013
Mazda 6 III,https://www.otomoto.pl/oferta/mazda-6-sky-passion-2-0l-165km-fv23-1-wlasciciel-salon-pl-serwis-aso-ID6BwmiS.html#aeb76e87b8,67 000,PLN,2014
Volkswagen Passat B7,https://www.otomoto.pl/oferta/volkswagen-passat-1-8-tsi-salon-polska-serwis-aso-skora-navi-xenon-bi-xenon-ID6BsY6x.html#aeb76e87b8,49 000,PLN,2012
Ford S-Max I,https://www.otomoto.pl/oferta/ford-s-max-titanium-automat-diesel-180-km-ID6zWE59.html#aeb76e87b8,139 960,PLN,2017
Volkswagen Golf VII,https://www.otomoto.pl/oferta/volkswagen-golf-1-0-tsi-110km-comfortline-ID6zwNwW.html#aeb76e87b8,74 500,PLN,2017
Škoda Fabia II,https://www.otomoto.pl/oferta/skoda-fabia-1-2-tsi-salon-polska-klima-alu-ID6BuhM0.html#aeb76e87b8,21 000,PLN,2011
Audi A6 C7,https://www.otomoto.pl/oferta/audi-a6-3-0-tdi-quattro-pelen-serwis-hud-pneumatyka-bogate-wyposazenie-ID6BwmiE.html#aeb76e87b8,95 000,PLN,2012
Citroën C4 I,https://www.otomoto.pl/oferta/citroen-c4-2010r-1-6-hdi-czujniki-cofania-klimatronik-serwis-oplacona-ID6B1j8x.html#aeb76e87b8,16 900,PLN,2010
Audi A5 F5,https://www.otomoto.pl/oferta/audi-a5-2-0-tdi-s-tronic-150km-vat-23-ID6AJpIA.html#aeb76e87b8,144 800,PLN,2017
